Scorer,OOD Dataset,Final AUROC,Final FPR@95,Epochs Evaluated
MSP,SVHN,0.8056265462927392,51.65,12
MSP,CIFAR10,0.7923368999999999,56.830000000000005,12
MSP,Textures,0.7873555851063829,58.36,12
MaxLogit,SVHN,0.8209975797157126,49.27,12
MaxLogit,CIFAR10,0.7951255999999999,57.8,12
MaxLogit,Textures,0.797913829787234,54.86,12
Energy,SVHN,0.8262184402612371,49.059999999999995,12
Energy,CIFAR10,0.7944131,57.84,12
Energy,Textures,0.8009776595744682,54.53,12
Mahalanobis,SVHN,0.7628706108336535,59.14,12
Mahalanobis,CIFAR10,0.7870122,61.18,12
Mahalanobis,Textures,0.7882989361702128,66.86,12
ViM,SVHN,0.8270877449097195,50.129999999999995,12
ViM,CIFAR10,0.7692065000000001,57.699999999999996,12
ViM,Textures,0.7214351063829787,64.27000000000001,12
NECO,SVHN,0.8806655205532078,45.190000000000005,4
NECO,CIFAR10,0.68712785,81.76,4
NECO,Textures,0.8524037234042553,62.9,4
